tick,pos_deg,vel_degs,acc_degs2,pwm
538000,170.8,-1.7,-7.1,-17.0
538010,169.8,-1.8,-7.1,-16.0
538020,168.7,-1.8,-7.3,-17.0
538030,167.7,-1.9,-7.3,-19.0
538040,166.6,-2.0,-7.3,-18.0
538060,164.3,-2.1,-7.5,-20.0
538070,163.0,-2.2,-7.7,-19.0
538080,161.7,-2.3,-7.8,-20.0
538090,160.4,-2.4,-7.9,-22.0
538100,159.0,-2.4,-8.0,-21.0
538110,157.6,-2.5,-8.0,-22.0
538120,156.2,-2.6,-8.0,-24.0
538130,154.8,-2.6,-8.0,-23.0
538140,153.2,-2.7,-8.1,-23.0
538150,151.6,-2.8,-8.3,-25.0
538160,150.0,-2.9,-8.3,-24.0
538170,148.3,-3.0,-8.5,-25.0
538180,146.6,-3.1,-8.6,-26.0
538190,144.8,-3.1,-8.6,-25.0
538200,143.0,-3.2,-8.7,-26.0
538210,141.2,-3.3,-8.8,-28.0
538220,139.2,-3.4,-9.0,-26.0
538230,137.2,-3.5,-9.1,-27.0
538240,135.3,-3.6,-9.1,-29.0
538250,133.2,-3.7,-9.2,-28.0
538260,131.0,-3.8,-9.3,-28.0
538270,128.9,-3.8,-9.3,-30.0
538280,126.8,-3.9,-9.2,-29.0
538290,124.6,-4.0,-9.0,-29.0
538300,122.4,-4.0,-8.9,-31.0
538310,120.2,-4.1,-8.7,-30.0
538320,118.0,-4.1,-8.6,-30.0
538330,115.7,-4.2,-8.3,-32.0
538340,113.4,-4.2,-8.2,-31.0
538350,111.1,-4.3,-7.9,-31.0
538360,108.7,-4.3,-7.7,-32.0
538370,106.3,-4.3,-7.5,-31.0
538380,103.9,-4.4,-7.4,-30.0
538390,101.4,-4.4,-7.2,-32.0
538400,99.0,-4.5,-7.0,-30.0
538410,96.4,-4.5,-7.0,-30.0
538420,93.9,-4.6,-6.8,-32.0
538430,91.3,-4.6,-6.6,-30.0
538440,88.8,-4.7,-6.4,-30.0
538450,86.2,-4.7,-6.1,-32.0
538460,83.6,-4.7,-5.9,-30.0
538470,81.0,-4.7,-5.6,-30.0
538480,78.4,-4.7,-5.3,-31.0
538490,75.8,-4.8,-5.0,-30.0
538500,73.2,-4.8,-4.6,-30.0
538510,70.5,-4.8,-4.4,-31.0
538520,68.0,-4.8,-4.0,-30.0
538530,65.3,-4.8,-3.8,-30.0
538540,62.7,-4.8,-3.5,-31.0
538550,60.1,-4.8,-3.1,-30.0
538560,57.4,-4.8,-2.9,-29.0
538570,54.8,-4.8,-2.6,-27.0
538580,52.1,-4.8,-2.4,-27.0
538590,49.4,-4.8,-2.1,-27.0
538600,46.8,-4.8,-1.8,-28.0
538610,44.2,-4.7,-1.3,-28.0
538620,41.7,-4.7,-0.7,-28.0
538630,39.2,-4.6,-0.3,-28.0
538640,36.7,-4.6,0.2,-28.0
538650,34.2,-4.5,0.5,-28.0
538660,31.7,-4.5,0.9,-28.0
538670,29.3,-4.4,1.3,-28.0
538680,26.8,-4.4,1.5,-28.0
538690,24.3,-4.4,1.8,-28.0
538700,21.9,-4.3,2.1,-28.0
