tick,pos_deg,vel_degs,acc_degs2,pwm
406000,-169.0,0.9,4.5,12.0
406010,-168.4,1.0,4.7,12.0
406020,-167.7,1.1,5.0,13.0
406030,-167.1,1.1,5.0,12.0
406040,-166.4,1.2,5.2,12.0
406050,-165.6,1.3,5.4,12.0
406060,-164.9,1.3,5.5,14.0
406070,-164.1,1.4,5.6,14.0
406080,-163.3,1.4,5.8,14.0
406090,-162.4,1.5,6.0,16.0
406100,-161.5,1.6,6.1,16.0
406110,-160.6,1.6,6.2,16.0
406120,-159.6,1.7,6.4,18.0
406130,-158.6,1.8,6.6,17.0
406140,-157.5,1.9,6.8,18.0
406150,-156.4,1.9,7.0,20.0
406160,-155.2,2.0,7.2,19.0
406170,-153.9,2.1,7.5,20.0
406180,-152.6,2.2,7.7,22.0
406190,-151.3,2.3,8.0,21.0
406200,-149.9,2.4,8.2,21.0
406210,-148.3,2.5,8.6,23.0
406220,-146.8,2.6,8.8,22.0
406230,-145.2,2.7,9.0,22.0
406240,-143.7,2.8,9.1,24.0
406250,-142.0,2.9,9.3,23.0
406260,-140.3,3.0,9.4,24.0
406270,-138.5,3.1,9.6,26.0
406280,-136.7,3.2,9.8,24.0
406290,-134.8,3.3,9.8,25.0
406300,-132.9,3.4,10.0,27.0
406310,-131.0,3.5,10.0,26.0
406320,-129.0,3.6,10.0,26.0
406330,-126.9,3.7,10.1,28.0
406340,-124.8,3.8,10.1,27.0
406350,-122.7,3.8,10.0,27.0
406360,-120.5,3.9,9.9,29.0
406370,-118.4,4.0,9.7,28.0
406380,-116.2,4.0,9.6,28.0
406390,-114.0,4.1,9.5,30.0
406400,-111.7,4.2,9.2,29.0
406410,-109.4,4.2,9.1,29.0
406420,-107.1,4.3,8.8,31.0
406430,-104.8,4.3,8.7,30.0
406440,-102.3,4.4,8.5,30.0
406450,-99.9,4.4,8.5,32.0
406460,-97.4,4.5,8.4,30.0
406470,-94.9,4.6,8.2,30.0
406480,-92.3,4.6,8.1,31.0
406490,-89.7,4.7,8.0,30.0
406500,-87.1,4.7,7.8,30.0
406510,-84.5,4.8,7.6,31.0
406520,-81.8,4.8,7.5,30.0
406530,-79.1,4.9,7.4,30.0
406540,-76.4,4.9,7.1,31.0
406550,-73.7,4.9,6.6,30.0
406560,-71.0,4.9,6.4,29.0
406570,-68.4,4.9,5.9,31.0
406580,-65.7,4.9,5.4,30.0
406590,-63.1,4.9,5.0,30.0
406600,-60.4,4.9,4.5,31.0
406610,-57.8,4.9,4.0,30.0
406620,-55.1,4.9,3.7,28.0
406630,-52.4,4.9,3.4,27.0
406640,-49.7,4.9,2.9,27.0
406650,-47.1,4.8,2.4,27.0
406660,-44.5,4.8,2.0,27.0
406670,-41.9,4.8,1.5,27.0
406680,-39.3,4.7,1.0,27.0
406690,-36.7,4.7,0.6,27.0
406700,-34.2,4.6,0.0,27.0
406710,-31.7,4.6,-0.4,28.0
406720,-29.2,4.6,-0.9,28.0
406730,-26.7,4.5,-1.2,28.0
406740,-24.2,4.5,-1.6,28.0
406750,-21.7,4.4,-2.0,28.0
406760,-19.2,4.4,-2.1,28.0
406770,-16.7,4.4,-2.3,28.0
406780,-14.2,4.4,-2.3,28.0
406790,-11.7,4.3,-2.4,28.0
406800,-9.2,4.3,-2.6,28.0
406810,-6.7,4.3,-2.5,31.0
406830,-1.6,4.3,-2.3,31.0
406840,1.0,4.3,-2.2,31.0
406850,3.7,4.4,-1.9,31.0
406860,6.3,4.4,-1.6,31.0
406870,9.0,4.4,-1.3,31.0
406880,11.6,4.5,-1.1,31.0
406890,14.3,4.5,-1.0,31.0
406900,16.9,4.5,-0.9,31.0
406910,19.6,4.5,-0.6,31.0
406920,22.2,4.5,-0.7,31.0
406930,25.0,4.6,-0.4,31.0
406940,27.6,4.6,-0.3,31.0
406950,30.4,4.6,-0.1,31.0
406960,33.1,4.6,0.0,31.0
406970,35.8,4.6,0.0,30.0
406980,38.5,4.7,0.1,30.0
406990,41.2,4.7,0.2,29.0
407000,43.9,4.7,0.1,28.0
407010,46.6,4.7,0.2,28.0
407020,49.3,4.7,0.1,27.0
407030,52.0,4.7,0.0,26.0
407040,54.6,4.7,-0.3,26.0
407050,57.2,4.6,-0.5,25.0
407060,59.6,4.6,-1.0,25.0
407070,62.1,4.5,-1.3,24.0
407080,64.6,4.5,-1.8,24.0
407090,66.9,4.4,-2.4,24.0
407100,69.3,4.3,-2.7,23.0
407110,71.6,4.2,-3.1,23.0
407120,73.9,4.2,-3.5,22.0
407130,76.2,4.1,-3.7,22.0
407140,78.4,4.0,-4.2,21.0
407150,80.6,4.0,-4.5,21.0
407160,82.8,3.9,-4.9,21.0
407170,84.9,3.8,-5.2,20.0
407180,87.0,3.7,-5.6,20.0
407190,89.1,3.7,-5.7,20.0
407200,91.1,3.6,-6.0,19.0
407210,93.1,3.5,-6.2,19.0
407220,95.1,3.4,-6.4,19.0
407230,97.0,3.4,-6.5,18.0
407240,99.0,3.3,-6.5,18.0
407250,100.8,3.2,-6.8,18.0
407260,102.6,3.2,-7.0,18.0
407270,104.4,3.1,-7.1,17.0
407280,106.2,3.0,-7.2,17.0
407290,107.9,3.0,-7.4,17.0
407300,109.6,2.9,-7.5,16.0
407310,111.1,2.8,-7.8,16.0
407320,112.7,2.7,-7.9,16.0
407330,114.2,2.6,-8.1,16.0
407340,115.7,2.6,-8.1,16.0
407350,117.2,2.5,-8.1,15.0
407360,118.7,2.4,-8.1,15.0
407370,120.1,2.4,-8.2,15.0
407380,121.4,2.3,-8.4,15.0
407390,122.7,2.2,-8.4,15.0
407400,124.0,2.1,-8.4,15.0
407410,125.2,2.0,-8.6,14.0
407420,126.4,2.0,-8.6,14.0
407430,127.5,1.9,-8.7,14.0
407440,128.7,1.8,-8.6,14.0
407450,129.7,1.8,-8.6,14.0
407460,130.8,1.7,-8.6,14.0
407470,131.8,1.6,-8.4,14.0
407480,132.9,1.6,-8.2,14.0
407490,133.9,1.5,-8.1,13.0
407500,134.9,1.5,-7.9,13.0
407510,135.8,1.5,-7.7,13.0
407520,136.8,1.5,-7.3,13.0
407530,137.8,1.4,-7.0,13.0
407540,138.7,1.4,-6.8,13.0
407550,139.7,1.4,-6.4,12.0
407560,140.6,1.4,-6.1,12.0
407570,141.5,1.4,-5.8,12.0
407580,142.4,1.3,-5.6,12.0
407590,143.3,1.3,-5.3,12.0
407600,144.2,1.3,-5.0,12.0
407610,145.0,1.3,-4.8,11.0
407620,145.9,1.3,-4.5,11.0
407630,146.7,1.3,-4.3,11.0
407640,147.5,1.3,-4.1,11.0
407650,148.3,1.3,-3.9,11.0
407660,149.1,1.2,-3.7,11.0
407670,149.9,1.2,-3.5,10.0
407680,150.6,1.2,-3.4,10.0
407690,151.4,1.2,-3.3,10.0
407700,152.1,1.2,-3.1,10.0
407710,152.8,1.2,-3.0,10.0
407720,153.5,1.1,-2.9,10.0
407730,154.2,1.1,-2.7,10.0
407740,154.9,1.1,-2.7,9.0
407750,155.5,1.1,-2.6,9.0
407760,156.1,1.1,-2.6,9.0
407770,156.8,1.1,-2.4,9.0
407780,157.4,1.0,-2.4,9.0
407790,157.9,1.0,-2.4,9.0
407800,158.5,1.0,-2.4,9.0
407810,159.0,0.9,-2.4,9.0
407820,159.6,0.9,-2.4,9.0
407830,160.1,0.9,-2.4,9.0
407840,160.6,0.9,-2.4,9.0
407850,161.1,0.8,-2.4,9.0
407860,161.6,0.8,-2.2,9.0
407870,162.1,0.8,-2.2,8.0
407880,162.5,0.8,-2.2,8.0
407890,163.0,0.8,-2.1,8.0
407900,163.4,0.8,-2.1,8.0
407910,163.8,0.7,-2.1,8.0
407920,164.2,0.7,-2.1,8.0
407930,164.7,0.7,-2.0,8.0
407940,165.1,0.7,-1.9,8.0
407950,165.5,0.7,-1.8,8.0
407960,165.9,0.7,-1.7,8.0
407970,166.3,0.7,-1.6,8.0
407980,166.7,0.6,-1.5,8.0
407990,167.1,0.6,-1.4,8.0
408000,167.5,0.6,-1.3,8.0
408010,167.9,0.6,-1.2,7.0
408020,168.2,0.6,-1.2,7.0
408030,168.6,0.6,-1.1,7.0
408040,168.9,0.6,-1.1,7.0
408050,169.3,0.6,-1.0,7.0
408060,169.6,0.6,-0.9,7.0
408070,169.9,0.6,-1.0,7.0
408080,170.2,0.6,-1.0,7.0
408090,170.5,0.5,-0.9,7.0
408100,170.9,0.5,-0.9,7.0
408110,171.2,0.5,-0.8,7.0
408120,171.5,0.5,-0.8,7.0
408130,171.8,0.5,-0.7,7.0
408140,172.1,0.5,-0.5,7.0
408150,172.4,0.5,-0.5,7.0
408160,172.8,0.5,-0.3,7.0
408170,173.1,0.5,-0.3,6.0
408180,173.5,0.5,-0.1,6.0
408190,173.8,0.5,-0.1,6.0
408200,174.1,0.5,0.0,6.0
408210,174.3,0.5,-0.1,6.0
408220,174.6,0.5,-0.1,6.0
408230,174.9,0.5,-0.1,6.0
408240,175.2,0.5,-0.1,6.0
408250,175.5,0.5,0.0,6.0
