tick,pos_deg,vel_degs,acc_degs2,pwm
558000,-159.3,1.9,7.3,16.0
558010,-158.3,1.9,7.3,18.0
558020,-157.2,2.0,7.4,18.0
558030,-156.0,2.1,7.6,18.0
558040,-154.8,2.1,7.6,20.0
558050,-153.5,2.2,7.8,19.0
558060,-152.2,2.3,8.0,20.0
558070,-150.9,2.4,8.0,22.0
558080,-149.5,2.5,8.3,21.0
558090,-148.0,2.6,8.3,21.0
558100,-146.5,2.7,8.5,23.0
558110,-145.0,2.7,8.6,22.0
558120,-143.4,2.8,8.8,23.0
558130,-141.7,2.9,9.0,24.0
558140,-140.0,3.0,9.0,23.0
558150,-138.3,3.1,9.1,24.0
558160,-136.4,3.2,9.5,26.0
558170,-134.5,3.3,9.5,25.0
558180,-132.6,3.4,9.6,25.0
558190,-130.7,3.5,9.6,27.0
558200,-128.6,3.6,9.8,26.0
558210,-126.6,3.7,9.8,26.0
558220,-124.6,3.7,9.7,28.0
558230,-122.5,3.8,9.6,27.0
558240,-120.4,3.9,9.5,27.0
558250,-118.2,3.9,9.3,29.0
558260,-116.0,4.0,9.3,28.0
558270,-113.8,4.1,9.0,28.0
558280,-111.6,4.1,8.9,30.0
558290,-109.3,4.2,8.6,29.0
558300,-107.0,4.2,8.5,29.0
558310,-104.6,4.3,8.5,31.0
558320,-102.2,4.3,8.3,30.0
558330,-99.8,4.4,8.3,30.0
558340,-97.3,4.5,8.1,32.0
558350,-94.8,4.5,7.9,30.0
558360,-92.2,4.6,7.9,30.0
558370,-89.7,4.6,7.8,31.0
558380,-87.0,4.7,7.8,30.0
558390,-84.4,4.7,7.5,30.0
558400,-81.7,4.8,7.5,31.0
558410,-78.9,4.9,7.5,30.0
558420,-76.3,4.9,7.1,30.0
558430,-73.6,4.9,6.8,31.0
558440,-70.9,4.9,6.4,30.0
558450,-68.3,4.9,6.0,30.0
558460,-65.7,4.9,5.4,31.0
558470,-62.9,4.9,5.2,30.0
558480,-60.3,4.9,4.6,30.0
558490,-57.6,4.9,4.2,31.0
558500,-54.9,4.9,4.0,30.0
558510,-52.2,4.9,3.5,30.0
558520,-49.5,4.9,3.2,31.0
558530,-46.8,4.9,2.9,30.0
558540,-44.1,4.9,2.6,28.0
558550,-41.4,4.9,2.3,27.0
558560,-38.6,4.9,2.1,27.0
558570,-35.9,4.9,1.9,27.0
558580,-33.2,4.9,1.4,27.0
558590,-30.5,4.8,1.0,27.0
558600,-28.0,4.8,0.4,27.0
558610,-25.5,4.7,-0.2,27.0
558620,-22.9,4.7,-0.7,28.0
558630,-20.4,4.6,-1.1,28.0
558640,-17.9,4.5,-1.6,28.0
558650,-15.4,4.5,-1.9,28.0
558660,-12.9,4.5,-2.2,28.0
558670,-10.4,4.4,-2.5,28.0
558680,-7.8,4.4,-2.5,28.0
558690,-5.3,4.4,-2.7,28.0
558700,-2.8,4.4,-2.7,28.0
