tick,pos_deg,vel_degs,acc_degs2,pwm
350000,167.7,-1.9,-7.4,-19.0
350010,166.6,-2.0,-7.4,-18.0
350020,165.4,-2.1,-7.6,-18.0
350030,164.2,-2.1,-7.8,-20.0
350040,163.0,-2.2,-7.8,-19.0
350050,161.7,-2.3,-7.8,-20.0
350060,160.3,-2.4,-8.1,-22.0
350070,159.0,-2.4,-8.0,-21.0
350080,157.6,-2.5,-8.0,-22.0
350090,156.3,-2.6,-7.9,-24.0
350100,154.8,-2.6,-8.0,-23.0
350110,153.2,-2.7,-8.1,-23.0
350120,151.7,-2.8,-8.2,-25.0
350130,150.0,-2.9,-8.3,-24.0
350140,148.4,-3.0,-8.4,-25.0
350150,146.6,-3.0,-8.5,-26.0
350160,144.8,-3.1,-8.6,-25.0
350170,143.1,-3.2,-8.6,-26.0
350180,141.2,-3.3,-8.9,-28.0
350190,139.2,-3.4,-9.0,-27.0
350200,137.2,-3.5,-9.1,-27.0
350210,135.3,-3.6,-9.1,-29.0
350220,133.2,-3.7,-9.2,-28.0
350230,131.1,-3.7,-9.2,-28.0
350240,128.9,-3.8,-9.3,-30.0
350250,126.8,-3.9,-9.2,-29.0
350260,124.6,-4.0,-9.0,-29.0
350270,122.4,-4.0,-8.9,-31.0
350280,120.2,-4.1,-8.7,-30.0
350290,118.0,-4.1,-8.5,-30.0
350300,115.7,-4.2,-8.3,-32.0
350310,113.4,-4.2,-8.0,-31.0
350320,111.1,-4.3,-7.9,-31.0
350330,108.7,-4.3,-7.7,-32.0
350340,106.3,-4.3,-7.5,-31.0
350350,103.9,-4.4,-7.3,-31.0
350360,101.5,-4.4,-7.1,-32.0
350370,99.0,-4.5,-7.0,-30.0
350380,96.5,-4.5,-6.9,-30.0
350390,93.9,-4.6,-6.8,-32.0
350400,91.4,-4.6,-6.5,-30.0
350410,88.8,-4.7,-6.4,-30.0
350420,86.2,-4.7,-6.1,-32.0
350430,83.6,-4.7,-5.9,-30.0
350440,81.0,-4.7,-5.6,-30.0
350450,78.4,-4.7,-5.3,-32.0
350460,75.8,-4.7,-4.9,-30.0
350480,70.5,-4.8,-4.5,-32.0
350490,68.0,-4.8,-4.0,-30.0
350500,65.3,-4.8,-3.8,-30.0
350510,62.7,-4.8,-3.5,-32.0
350520,60.0,-4.8,-3.2,-30.0
350530,57.3,-4.8,-2.9,-29.0
350540,54.7,-4.8,-2.7,-27.0
350550,52.0,-4.8,-2.5,-27.0
350560,49.3,-4.8,-2.3,-28.0
350570,46.7,-4.8,-1.8,-28.0
