tick,pos_deg,vel_degs,acc_degs2,pwm
392000,-63.6,4.9,5.0,30.0
392010,-60.9,4.9,4.5,31.0
392020,-58.3,4.9,4.1,30.0
392030,-55.6,4.9,3.7,28.0
392040,-52.9,4.9,3.4,27.0
392050,-50.3,4.9,2.9,27.0
392060,-47.5,4.9,2.7,27.0
392070,-44.9,4.8,2.1,27.0
392080,-42.4,4.8,1.6,27.0
392090,-39.8,4.8,1.2,27.0
392100,-37.2,4.7,0.8,27.0
392110,-34.7,4.7,0.2,27.0
392120,-32.2,4.6,-0.3,28.0
392130,-29.7,4.5,-0.8,28.0
392140,-27.2,4.5,-1.2,28.0
392150,-24.7,4.5,-1.6,28.0
392160,-22.2,4.4,-1.9,28.0
392170,-19.8,4.4,-2.3,28.0
392180,-17.2,4.4,-2.2,28.0
392190,-14.7,4.4,-2.3,28.0
392200,-12.3,4.3,-2.5,28.0
392210,-9.8,4.3,-2.6,28.0
392220,-7.3,4.3,-2.6,31.0
392230,-4.7,4.3,-2.6,31.0
392240,-2.2,4.3,-2.4,31.0
392250,0.4,4.3,-2.2,31.0
392260,3.1,4.4,-1.9,31.0
392270,5.7,4.4,-1.6,31.0
392280,8.3,4.4,-1.4,31.0
392290,11.0,4.4,-1.2,31.0
392300,13.7,4.5,-1.0,31.0
392310,16.3,4.5,-0.9,31.0
392320,19.0,4.5,-0.7,31.0
392330,21.6,4.5,-0.7,31.0
392340,24.3,4.5,-0.5,31.0
392350,26.9,4.6,-0.5,31.0
392360,29.7,4.6,-0.2,31.0
392370,32.4,4.6,-0.1,31.0
392380,35.1,4.6,0.0,30.0
392390,37.8,4.7,0.1,30.0
392400,40.5,4.7,0.1,29.0
392410,43.2,4.7,0.2,29.0
392420,45.9,4.7,0.1,28.0
392430,48.6,4.7,0.0,27.0
392440,51.3,4.7,0.1,27.0
392450,53.9,4.7,-0.1,26.0
392460,56.5,4.6,-0.4,25.0
392470,59.0,4.6,-0.8,25.0
392480,61.4,4.5,-1.2,25.0
392490,63.9,4.5,-1.6,24.0
392500,66.3,4.4,-2.0,24.0
392510,68.6,4.3,-2.5,23.0
392520,71.0,4.3,-2.9,23.0
392530,73.3,4.2,-3.3,22.0
392540,75.6,4.1,-3.7,22.0
392550,77.9,4.1,-4.0,22.0
392560,80.1,4.0,-4.3,21.0
392570,82.2,3.9,-4.7,21.0
392580,84.3,3.8,-5.1,21.0
392590,86.4,3.7,-5.4,20.0
392600,88.6,3.7,-5.5,20.0
392610,90.6,3.6,-5.8,19.0
392620,92.6,3.5,-6.0,19.0
392630,94.6,3.5,-6.2,19.0
392640,96.6,3.4,-6.4,19.0
392660,100.4,3.3,-6.6,18.0
392670,102.3,3.2,-6.8,18.0
392680,104.0,3.1,-7.1,17.0
392690,105.8,3.1,-7.1,17.0
392700,107.5,3.0,-7.3,17.0
392710,109.2,2.9,-7.5,17.0
392720,110.8,2.8,-7.6,16.0
392730,112.4,2.7,-7.8,16.0
392740,113.9,2.7,-8.0,16.0
392750,115.5,2.6,-8.0,16.0
392760,117.0,2.5,-8.1,15.0
392770,118.4,2.5,-8.1,15.0
392780,119.8,2.4,-8.2,15.0
392790,121.2,2.3,-8.3,15.0
392800,122.5,2.2,-8.5,15.0
392810,123.7,2.1,-8.5,15.0
392820,125.0,2.1,-8.6,15.0
392830,126.1,2.0,-8.7,14.0
392840,127.3,1.9,-8.7,14.0
392850,128.4,1.8,-8.7,14.0
392860,129.5,1.8,-8.7,14.0
392870,130.6,1.7,-8.6,14.0
392880,131.6,1.7,-8.5,14.0
392890,132.6,1.6,-8.5,14.0
392900,133.6,1.5,-8.3,14.0
392910,134.6,1.5,-8.1,13.0
392920,135.6,1.5,-7.7,13.0
392930,136.6,1.4,-7.5,13.0
392940,137.5,1.4,-7.2,13.0
392950,138.5,1.4,-6.9,13.0
392960,139.4,1.4,-6.6,12.0
392970,140.4,1.4,-6.2,12.0
392980,141.3,1.4,-5.9,12.0
392990,142.2,1.3,-5.7,12.0
393000,143.1,1.3,-5.4,12.0
393010,144.0,1.3,-5.1,12.0
393020,144.8,1.3,-4.9,11.0
393030,145.6,1.3,-4.7,11.0
393040,146.5,1.3,-4.4,11.0
393050,147.3,1.3,-4.3,11.0
393060,148.1,1.3,-4.0,11.0
393070,148.8,1.2,-3.8,11.0
393080,149.6,1.2,-3.7,11.0
393090,150.3,1.2,-3.5,10.0
393100,151.1,1.2,-3.4,10.0
393110,151.8,1.2,-3.2,10.0
393120,152.5,1.1,-3.1,10.0
393130,153.2,1.1,-3.0,10.0
393140,153.9,1.1,-2.9,10.0
393150,154.6,1.1,-2.7,10.0
393160,155.2,1.1,-2.6,9.0
393170,155.8,1.1,-2.6,9.0
393180,156.5,1.1,-2.4,9.0
393190,157.1,1.0,-2.4,9.0
393200,157.6,1.0,-2.4,9.0
393210,158.2,1.0,-2.5,9.0
393220,158.7,0.9,-2.5,9.0
393230,159.3,0.9,-2.4,9.0
393240,159.7,0.9,-2.4,9.0
393250,160.2,0.9,-2.4,9.0
393260,160.7,0.8,-2.4,9.0
393270,161.2,0.8,-2.3,9.0
393280,161.7,0.8,-2.3,9.0
393290,162.2,0.8,-2.2,8.0
393300,162.6,0.8,-2.0,8.0
393310,163.1,0.8,-2.0,8.0
393320,163.5,0.7,-1.9,8.0
393330,163.9,0.7,-2.0,8.0
393340,164.3,0.7,-2.0,8.0
393350,164.7,0.7,-1.9,8.0
393360,165.1,0.7,-1.8,8.0
393370,165.5,0.7,-1.7,8.0
393380,165.9,0.6,-1.7,8.0
393390,166.3,0.6,-1.5,8.0
393400,166.6,0.6,-1.5,8.0
393410,167.0,0.6,-1.4,8.0
393420,167.4,0.6,-1.3,8.0
393430,167.8,0.6,-1.2,8.0
393440,168.1,0.6,-1.1,7.0
393450,168.5,0.6,-1.1,7.0
393460,168.8,0.6,-1.0,7.0
393470,169.2,0.6,-1.0,7.0
393480,169.5,0.6,-1.0,7.0
393490,169.8,0.5,-1.0,7.0
393500,170.1,0.5,-1.0,7.0
393510,170.4,0.5,-0.9,7.0
393520,170.6,0.5,-0.9,7.0
393530,170.9,0.5,-0.8,7.0
393540,171.2,0.5,-0.8,7.0
393550,171.5,0.5,-0.7,7.0
393560,171.8,0.5,-0.6,7.0
393570,172.1,0.5,-0.5,7.0
393580,172.4,0.5,-0.4,7.0
393590,172.8,0.5,-0.3,7.0
393600,173.1,0.5,-0.2,7.0
393610,173.4,0.5,-0.1,6.0
393620,173.7,0.5,-0.1,6.0
393630,173.9,0.5,-0.1,6.0
393640,174.2,0.5,-0.1,6.0
393650,174.5,0.5,0.0,6.0
393660,174.7,0.5,-0.1,6.0
393670,175.0,0.5,-0.1,6.0
393680,175.3,0.5,-0.1,6.0
393690,175.5,0.5,-0.1,6.0
393700,175.7,0.5,-0.1,6.0
393710,176.0,0.4,-0.2,6.0
393720,176.2,0.4,-0.1,6.0
393730,176.4,0.4,-0.1,6.0
393740,176.7,0.4,-0.2,6.0
393750,176.9,0.4,-0.2,6.0
393760,177.1,0.4,-0.1,6.0
393770,177.4,0.4,0.0,6.0
393780,177.6,0.4,0.0,6.0
393790,177.8,0.4,0.0,6.0
393800,178.1,0.4,0.0,6.0
393810,178.3,0.4,0.1,5.0
393820,178.5,0.4,0.1,5.0
