tick,pos_deg,vel_degs,acc_degs2,pwm
698009,74.1,-4.8,-5.1,-30.0
698019,71.4,-4.9,-4.9,-31.0
698029,68.8,-4.9,-4.5,-30.0
698039,66.1,-4.9,-4.2,-29.0
698049,63.5,-4.9,-3.8,-27.0
698059,60.8,-4.8,-3.4,-27.0
698069,58.2,-4.8,-3.0,-27.0
698079,55.6,-4.8,-2.6,-27.0
698089,53.0,-4.8,-2.2,-28.0
698099,50.4,-4.7,-1.6,-28.0
698109,47.8,-4.7,-1.2,-28.0
698119,45.3,-4.7,-0.7,-28.0
698129,42.8,-4.6,-0.2,-28.0
698139,40.3,-4.6,0.1,-28.0
698149,37.7,-4.5,0.5,-28.0
698159,35.2,-4.5,0.8,-28.0
698169,32.7,-4.5,1.2,-28.0
698179,30.3,-4.4,1.5,-28.0
698189,27.7,-4.4,1.6,-28.0
698199,25.3,-4.4,1.9,-28.0
698209,22.8,-4.3,2.1,-28.0
698219,20.3,-4.3,2.3,-28.0
698229,17.9,-4.3,2.5,-31.0
698239,15.4,-4.3,2.5,-31.0
698249,12.9,-4.3,2.5,-31.0
698259,10.3,-4.3,2.3,-31.0
698269,7.7,-4.3,2.0,-31.0
698279,5.1,-4.4,1.7,-31.0
698289,2.4,-4.4,1.5,-31.0
698299,-0.2,-4.4,1.3,-31.0
698309,-2.9,-4.4,1.1,-31.0
698319,-5.5,-4.5,0.9,-31.0
698329,-8.2,-4.5,0.7,-31.0
698339,-10.8,-4.5,0.7,-31.0
698349,-13.4,-4.5,0.6,-31.0
698359,-16.1,-4.5,0.5,-31.0
698369,-18.8,-4.6,0.3,-31.0
698379,-21.4,-4.6,0.3,-31.0
698389,-24.0,-4.6,0.3,-31.0
698399,-26.7,-4.6,0.2,-31.0
698409,-29.5,-4.6,-0.1,-30.0
698419,-32.2,-4.6,-0.1,-29.0
698429,-34.8,-4.6,-0.1,-29.0
698439,-37.6,-4.7,-0.2,-28.0
698449,-40.3,-4.7,-0.2,-27.0
698459,-42.9,-4.7,-0.2,-27.0
698469,-45.6,-4.7,0.0,-26.0
698479,-48.2,-4.7,0.0,-25.0
698499,-53.3,-4.6,0.7,-24.0
698509,-55.8,-4.5,1.1,-24.0
698519,-58.2,-4.5,1.6,-24.0
698529,-60.6,-4.4,2.0,-23.0
698539,-62.9,-4.3,2.6,-23.0
698549,-65.2,-4.2,3.0,-22.0
698559,-67.5,-4.2,3.4,-22.0
698569,-69.7,-4.1,3.9,-22.0
698579,-71.9,-4.0,4.4,-21.0
698589,-74.0,-3.9,4.9,-21.0
698599,-76.1,-3.8,5.2,-21.0
698609,-78.2,-3.7,5.5,-20.0
698619,-80.2,-3.6,5.9,-20.0
698629,-82.2,-3.5,6.2,-20.0
698639,-84.2,-3.5,6.5,-19.0
698649,-86.0,-3.4,6.8,-19.0
698659,-87.9,-3.3,7.1,-19.0
698669,-89.7,-3.2,7.4,-19.0
698679,-91.5,-3.1,7.7,-18.0
698689,-93.2,-3.0,7.8,-18.0
698699,-94.9,-3.0,8.0,-18.0
698709,-96.6,-2.9,8.1,-18.0
698719,-98.2,-2.8,8.3,-17.0
698729,-99.8,-2.7,8.3,-17.0
698739,-101.4,-2.6,8.5,-17.0
698749,-103.0,-2.6,8.4,-17.0
698759,-104.4,-2.5,8.5,-17.0
698769,-105.9,-2.5,8.4,-16.0
698779,-107.4,-2.4,8.4,-16.0
698789,-108.8,-2.3,8.4,-16.0
698799,-110.2,-2.3,8.3,-16.0
698809,-111.5,-2.2,8.4,-16.0
698819,-112.7,-2.1,8.5,-15.0
698829,-114.0,-2.1,8.3,-15.0
698839,-115.3,-2.0,8.1,-15.0
698849,-116.6,-2.0,7.9,-15.0
698859,-117.8,-1.9,7.8,-15.0
698869,-119.1,-1.9,7.6,-14.0
698879,-120.2,-1.9,7.4,-14.0
698889,-121.4,-1.8,7.3,-14.0
698899,-122.5,-1.8,7.2,-14.0
698909,-123.6,-1.7,7.0,-14.0
698919,-124.6,-1.7,7.0,-14.0
698929,-125.6,-1.6,6.8,-13.0
698939,-126.7,-1.6,6.6,-13.0
698949,-127.7,-1.6,6.5,-13.0
698959,-128.7,-1.5,6.3,-13.0
698969,-129.7,-1.5,6.0,-13.0
698979,-130.6,-1.5,5.8,-12.0
698989,-131.6,-1.5,5.5,-12.0
698999,-132.5,-1.5,5.3,-12.0
699009,-133.4,-1.4,5.2,-12.0
699019,-134.3,-1.4,5.0,-12.0
699029,-135.2,-1.4,4.8,-12.0
699039,-136.1,-1.4,4.6,-11.0
699049,-137.0,-1.4,4.4,-11.0
699059,-137.8,-1.3,4.2,-11.0
699069,-138.7,-1.3,4.0,-11.0
699079,-139.5,-1.3,3.8,-11.0
699089,-140.3,-1.3,3.7,-11.0
699099,-141.1,-1.3,3.6,-11.0
699109,-141.8,-1.2,3.5,-10.0
699119,-142.6,-1.2,3.3,-10.0
699129,-143.3,-1.2,3.2,-10.0
699139,-144.1,-1.2,3.0,-10.0
699149,-144.8,-1.2,3.0,-10.0
699159,-145.5,-1.2,2.9,-10.0
699169,-146.2,-1.2,2.7,-10.0
699179,-146.9,-1.1,2.7,-9.0
699189,-147.6,-1.1,2.5,-9.0
699199,-148.2,-1.1,2.4,-9.0
699209,-148.9,-1.1,2.3,-9.0
699219,-149.5,-1.1,2.3,-9.0
699229,-150.1,-1.0,2.3,-9.0
699239,-150.8,-1.0,2.1,-9.0
699249,-151.4,-1.0,2.1,-9.0
699259,-152.0,-1.0,1.9,-9.0
699269,-152.6,-1.0,1.9,-8.0
699279,-153.2,-1.0,1.7,-8.0
699289,-153.8,-1.0,1.7,-8.0
699299,-154.3,-1.0,1.7,-8.0
699309,-154.9,-0.9,1.6,-8.0
699319,-155.4,-0.9,1.6,-8.0
699329,-155.9,-0.9,1.6,-8.0
699339,-156.4,-0.9,1.5,-8.0
699349,-157.0,-0.9,1.4,-8.0
699359,-157.5,-0.9,1.4,-7.0
699369,-158.0,-0.9,1.3,-7.0
699379,-158.5,-0.9,1.3,-7.0
699389,-159.0,-0.8,1.3,-7.0
699399,-159.4,-0.8,1.3,-7.0
699409,-159.9,-0.8,1.3,-7.0
699419,-160.3,-0.8,1.3,-7.0
699429,-160.7,-0.8,1.3,-7.0
699439,-161.1,-0.7,1.4,-7.0
699449,-161.5,-0.7,1.4,-7.0
699459,-161.9,-0.7,1.3,-7.0
699469,-162.3,-0.7,1.3,-7.0
699479,-162.7,-0.7,1.4,-7.0
699489,-163.1,-0.7,1.3,-7.0
699499,-163.4,-0.6,1.3,-7.0
699509,-163.8,-0.6,1.3,-7.0
699519,-164.1,-0.6,1.3,-6.0
699529,-164.5,-0.6,1.3,-6.0
699539,-164.8,-0.6,1.2,-6.0
699549,-165.2,-0.6,1.2,-6.0
699559,-165.5,-0.5,1.3,-6.0
699569,-165.8,-0.5,1.2,-6.0
699579,-166.1,-0.5,1.1,-6.0
699589,-166.4,-0.5,1.2,-6.0
699599,-166.7,-0.5,1.1,-6.0
699609,-167.0,-0.5,1.0,-6.0
699619,-167.3,-0.5,1.0,-6.0
699629,-167.6,-0.5,0.9,-6.0
699639,-167.9,-0.5,0.8,-6.0
699649,-168.2,-0.5,0.8,-6.0
699659,-168.5,-0.5,0.7,-6.0
699669,-168.8,-0.5,0.7,-6.0
699679,-169.1,-0.5,0.6,-6.0
699689,-169.3,-0.5,0.6,-5.0
699699,-169.6,-0.5,0.5,-5.0
699709,-169.9,-0.5,0.5,-5.0
699719,-170.1,-0.5,0.5,-5.0
699729,-170.3,-0.4,0.6,-5.0
699739,-170.6,-0.4,0.5,-5.0
699749,-170.8,-0.4,0.5,-5.0
699759,-171.1,-0.4,0.5,-5.0
699769,-171.3,-0.4,0.5,-5.0
699779,-171.5,-0.4,0.5,-5.0
699789,-171.7,-0.4,0.5,-5.0
699799,-172.0,-0.4,0.5,-5.0
699809,-172.2,-0.4,0.4,-5.0
699819,-172.4,-0.4,0.4,-5.0
699829,-172.6,-0.4,0.4,-5.0
699839,-172.8,-0.4,0.4,-5.0
699849,-173.0,-0.4,0.3,-5.0
699859,-173.2,-0.4,0.4,-5.0
699869,-173.4,-0.4,0.3,-5.0
699879,-173.6,-0.4,0.3,-5.0
699889,-173.8,-0.3,0.3,-5.0
699899,-174.0,-0.3,0.2,-5.0
699909,-174.2,-0.3,0.2,-5.0
699919,-174.4,-0.3,0.2,-5.0
699929,-174.6,-0.3,0.3,0.0
