tick,pos_deg,vel_degs,acc_degs2,pwm
184000,-102.3,4.7,9.8,33.0
184010,-99.7,4.7,9.6,33.0
184020,-97.0,4.8,9.7,35.0
184030,-94.3,4.9,9.7,33.0
184040,-91.5,5.0,9.6,33.0
184050,-88.7,5.1,9.5,35.0
184060,-85.8,5.1,9.5,33.0
184070,-82.8,5.2,9.5,33.0
184080,-79.9,5.3,9.3,35.0
184090,-76.9,5.4,9.2,33.0
184100,-74.0,5.4,8.9,33.0
184110,-71.0,5.5,8.6,35.0
184120,-68.0,5.5,8.2,33.0
184130,-65.1,5.5,7.7,33.0
184140,-62.1,5.5,7.2,35.0
184150,-59.1,5.5,6.8,33.0
184160,-56.2,5.5,6.4,34.0
184170,-53.2,5.5,5.9,35.0
184180,-50.2,5.5,5.4,34.0
184190,-47.1,5.5,5.2,34.0
184200,-44.2,5.5,4.6,35.0
184210,-41.0,5.5,4.4,34.0
184220,-37.9,5.6,4.2,34.0
184230,-34.8,5.6,4.1,35.0
184240,-31.7,5.6,3.7,34.0
184250,-28.6,5.6,3.3,33.0
184260,-25.5,5.6,3.0,31.0
184270,-22.5,5.6,2.6,32.0
184280,-19.4,5.5,2.1,32.0
184290,-16.4,5.5,1.6,32.0
184300,-13.4,5.5,1.2,32.0
184310,-10.4,5.4,0.8,32.0
184320,-7.5,5.4,0.3,32.0
184330,-4.5,5.3,-0.2,32.0
184340,-1.6,5.3,-0.6,32.0
184350,1.4,5.3,-0.9,33.0
184360,4.3,5.2,-1.1,33.0
184370,7.3,5.2,-1.3,33.0
184380,10.3,5.2,-1.4,33.0
184390,13.2,5.2,-1.7,33.0
184400,16.1,5.1,-2.0,33.0
184410,19.1,5.1,-2.0,33.0
184420,22.0,5.1,-2.2,33.0
184430,25.0,5.1,-2.3,34.0
184440,27.9,5.1,-2.4,34.0
184450,30.9,5.1,-2.3,34.0
184460,33.8,5.1,-2.3,37.0
184470,36.9,5.1,-2.1,37.0
184480,39.9,5.1,-1.9,37.0
184490,43.0,5.2,-1.5,37.0
184500,46.2,5.2,-1.2,37.0
184510,49.3,5.3,-0.8,37.0
184520,52.5,5.3,-0.5,36.0
184530,55.7,5.4,-0.2,35.0
184540,58.9,5.4,0.0,34.0
184550,62.1,5.4,0.1,34.0
184560,65.2,5.4,0.1,33.0
184570,68.3,5.4,0.0,32.0
184580,71.3,5.4,-0.1,31.0
184590,74.4,5.4,-0.1,31.0
184600,77.4,5.4,-0.5,30.0
184610,80.5,5.4,-0.6,29.0
184620,83.5,5.3,-0.9,29.0
184630,86.4,5.3,-1.3,28.0
184640,89.3,5.2,-1.6,27.0
184650,92.1,5.2,-2.0,27.0
184660,94.9,5.1,-2.4,26.0
184670,97.7,5.0,-2.8,26.0
184680,100.5,5.0,-3.2,25.0
184690,103.1,4.9,-3.8,25.0
