tick,pos_deg,vel_degs,acc_degs2,pwm
368000,182.3,-0.4,-2.6,-8.0
368010,182.0,-0.5,-2.9,-8.0
368020,181.6,-0.5,-3.2,-9.0
368030,181.1,-0.6,-3.6,-9.0
368040,180.7,-0.7,-3.8,-9.0
368050,180.3,-0.7,-4.0,-10.0
368060,179.8,-0.8,-4.2,-10.0
368070,179.3,-0.8,-4.4,-11.0
368080,178.7,-0.9,-4.6,-11.0
368090,178.2,-1.0,-4.8,-12.0
368100,177.5,-1.0,-5.0,-13.0
368110,176.9,-1.1,-5.2,-13.0
368120,176.2,-1.2,-5.4,-12.0
368130,175.5,-1.2,-5.6,-12.0
368140,174.7,-1.3,-5.8,-12.0
368150,173.9,-1.4,-5.9,-14.0
368160,173.1,-1.4,-6.2,-14.0
368170,172.2,-1.5,-6.3,-14.0
368180,171.4,-1.6,-6.3,-16.0
368190,170.5,-1.6,-6.4,-16.0
368200,169.5,-1.7,-6.4,-16.0
368210,168.5,-1.8,-6.6,-18.0
368220,167.5,-1.8,-6.7,-18.0
368230,166.5,-1.9,-6.7,-18.0
368240,165.3,-2.0,-6.9,-20.0
368250,164.1,-2.0,-7.2,-19.0
368260,163.0,-2.1,-7.2,-20.0
368270,161.7,-2.2,-7.4,-22.0
368280,160.3,-2.3,-7.7,-21.0
368290,159.0,-2.4,-7.7,-22.0
368300,157.6,-2.4,-7.8,-24.0
368310,156.2,-2.5,-7.9,-23.0
368320,154.8,-2.6,-8.0,-23.0
368330,153.2,-2.7,-8.3,-25.0
368340,151.7,-2.8,-8.3,-24.0
368350,150.0,-2.9,-8.5,-25.0
368360,148.3,-3.0,-8.6,-26.0
368370,146.6,-3.0,-8.7,-25.0
368380,144.8,-3.1,-8.8,-26.0
368390,143.0,-3.2,-8.9,-28.0
368400,141.2,-3.3,-9.0,-27.0
368410,139.2,-3.4,-9.2,-27.0
368420,137.2,-3.5,-9.3,-29.0
368430,135.2,-3.6,-9.4,-28.0
368440,133.2,-3.7,-9.5,-28.0
368450,131.0,-3.8,-9.5,-30.0
368460,128.9,-3.8,-9.5,-29.0
368470,126.7,-3.9,-9.4,-29.0
368480,124.6,-4.0,-9.3,-31.0
368490,122.3,-4.0,-9.2,-30.0
368500,120.1,-4.1,-9.0,-30.0
368510,117.8,-4.2,-8.9,-32.0
368520,115.5,-4.2,-8.7,-31.0
368530,113.2,-4.3,-8.4,-31.0
368540,110.9,-4.3,-8.1,-32.0
368550,108.5,-4.3,-7.9,-31.0
368560,106.1,-4.4,-7.8,-31.0
368570,103.7,-4.4,-7.5,-32.0
368580,101.2,-4.5,-7.4,-30.0
368590,98.7,-4.5,-7.2,-30.0
368600,96.2,-4.6,-7.2,-32.0
368610,93.6,-4.6,-6.9,-30.0
368620,91.1,-4.6,-6.7,-30.0
368630,88.5,-4.7,-6.5,-32.0
