tick,pos_deg,vel_degs,acc_degs2,pwm
208000,-137.4,-1.2,4.0,-11.0
208010,-138.2,-1.2,3.7,-11.0
208020,-138.9,-1.2,3.7,-11.0
208030,-139.7,-1.2,3.5,-11.0
208040,-140.4,-1.2,3.4,-11.0
208050,-141.1,-1.1,3.3,-11.0
208060,-141.7,-1.1,3.2,-11.0
208070,-142.4,-1.1,3.0,-11.0
208080,-143.1,-1.1,2.9,-10.0
208090,-143.7,-1.1,2.8,-10.0
208100,-144.4,-1.1,2.7,-10.0
208110,-145.1,-1.0,2.5,-10.0
208120,-145.7,-1.0,2.4,-10.0
208130,-146.3,-1.0,2.3,-10.0
208140,-146.9,-1.0,2.2,-10.0
208150,-147.5,-1.0,2.1,-10.0
208160,-148.1,-1.0,2.0,-10.0
208170,-148.7,-1.0,1.8,-9.0
208180,-149.3,-1.0,1.8,-9.0
208190,-149.8,-1.0,1.7,-9.0
208200,-150.4,-0.9,1.7,-9.0
208210,-151.0,-0.9,1.5,-9.0
208220,-151.5,-0.9,1.5,-9.0
208230,-152.0,-0.9,1.4,-9.0
208240,-152.6,-0.9,1.3,-9.0
208250,-153.1,-0.9,1.2,-9.0
208260,-153.6,-0.9,1.1,-8.0
208270,-154.1,-0.9,1.1,-8.0
208280,-154.6,-0.9,1.1,-8.0
208290,-155.1,-0.8,1.1,-8.0
208300,-155.6,-0.8,1.1,-8.0
208310,-156.0,-0.8,1.1,-8.0
208320,-156.4,-0.8,1.1,-8.0
208330,-156.9,-0.8,1.0,-8.0
208340,-157.4,-0.8,1.0,-8.0
208350,-157.8,-0.8,1.0,-8.0
208360,-158.2,-0.8,0.9,-8.0
208370,-158.7,-0.8,0.9,-8.0
208380,-159.1,-0.7,0.9,-7.0
208390,-159.5,-0.7,0.8,-7.0
208400,-159.9,-0.7,0.9,-7.0
208410,-160.2,-0.7,1.0,-7.0
208420,-160.6,-0.7,0.9,-7.0
208430,-160.9,-0.6,1.1,-7.0
208440,-161.3,-0.6,1.1,-7.0
208450,-161.6,-0.6,1.2,-7.0
208460,-161.9,-0.6,1.1,-7.0
208470,-162.2,-0.6,1.1,-7.0
208480,-162.6,-0.6,1.2,-7.0
208490,-162.9,-0.5,1.1,-7.0
208500,-163.2,-0.5,1.1,-7.0
208510,-163.4,-0.5,1.2,-7.0
208520,-163.7,-0.5,1.1,-7.0
208530,-164.0,-0.5,1.1,-7.0
208540,-164.3,-0.5,1.1,-7.0
208550,-164.5,-0.5,1.1,-7.0
208560,-164.8,-0.4,1.1,-7.0
208570,-165.1,-0.4,1.0,-7.0
208580,-165.3,-0.4,1.0,-7.0
208590,-165.6,-0.4,0.9,-7.0
208600,-165.9,-0.4,0.8,-6.0
208610,-166.2,-0.4,0.7,-6.0
208620,-166.4,-0.4,0.7,-6.0
208630,-166.6,-0.4,0.6,-6.0
208640,-166.9,-0.4,0.6,-6.0
208650,-167.1,-0.4,0.6,-6.0
208660,-167.4,-0.4,0.5,-6.0
208670,-167.6,-0.4,0.4,-6.0
208680,-167.9,-0.4,0.4,-6.0
208690,-168.1,-0.4,0.4,-6.0
208700,-168.3,-0.4,0.4,-6.0
208710,-168.5,-0.4,0.4,-6.0
208720,-168.8,-0.4,0.3,-6.0
208730,-169.0,-0.4,0.3,-6.0
208740,-169.2,-0.4,0.3,-6.0
208750,-169.4,-0.4,0.3,-6.0
208760,-169.6,-0.4,0.3,-6.0
208770,-169.8,-0.4,0.3,-6.0
208780,-170.0,-0.4,0.3,-6.0
208790,-170.2,-0.4,0.2,-6.0
208800,-170.4,-0.3,0.3,-6.0
208810,-170.5,-0.3,0.3,-6.0
208820,-170.8,-0.3,0.2,-6.0
208830,-170.9,-0.3,0.2,-5.0
208840,-171.1,-0.3,0.2,-5.0
208850,-171.3,-0.3,0.2,-5.0
208860,-171.5,-0.3,0.2,-5.0
208870,-171.7,-0.3,0.2,-5.0
208880,-171.8,-0.3,0.3,-5.0
208890,-172.0,-0.3,0.3,-5.0
208900,-172.1,-0.3,0.2,-5.0
208910,-172.3,-0.3,0.3,-5.0
208920,-172.4,-0.3,0.2,-5.0
208930,-172.6,-0.3,0.3,-5.0
208940,-172.7,-0.3,0.3,-5.0
208950,-172.9,-0.3,0.2,-5.0
208960,-173.0,-0.3,0.3,-5.0
208970,-173.1,-0.3,0.3,-5.0
208980,-173.3,-0.2,0.3,-5.0
208990,-173.4,-0.2,0.3,-5.0
209000,-173.5,-0.2,0.3,-5.0
209010,-173.7,-0.2,0.3,-5.0
209020,-173.8,-0.2,0.3,-5.0
209030,-173.9,-0.2,0.2,-5.0
209040,-174.1,-0.2,0.2,-5.0
209050,-174.2,-0.2,0.3,-5.0
209060,-174.3,-0.2,0.2,-5.0
209070,-174.4,-0.2,0.2,-5.0
209080,-174.5,-0.2,0.3,-1.0
209090,-174.6,-0.2,0.3,-1.0
209100,-174.7,-0.2,0.4,-1.0
209110,-174.7,-0.2,0.5,-1.0
209120,-174.7,-0.1,0.7,-1.0
209130,-174.8,-0.1,0.7,-1.0
209140,-174.8,-0.1,0.9,-1.0
209150,-174.8,-0.1,1.0,-1.0
209160,-174.8,0.0,1.1,-1.0
209170,-174.8,0.0,1.1,-1.0
209180,-174.8,0.0,1.1,-1.0
209190,-174.8,0.0,1.1,-1.0
209200,-174.8,0.0,1.1,-1.0
209210,-174.8,0.0,1.1,-1.0
209220,-174.8,0.0,1.1,-1.0
209230,-174.8,0.0,1.0,-1.0
209240,-174.8,0.0,1.0,-1.0
209250,-174.8,0.0,0.9,-1.0
209260,-174.8,0.0,0.9,-1.0
209270,-174.8,0.0,0.8,-1.0
209280,-174.8,0.0,0.7,-1.0
209290,-174.8,0.0,0.7,-1.0
209300,-174.8,0.0,0.6,-1.0
209310,-174.8,0.0,0.6,-1.0
209320,-174.8,0.0,0.5,-1.0
209330,-174.8,0.0,0.4,-1.0
209340,-174.8,0.0,0.4,-1.0
209350,-174.8,0.0,0.3,-1.0
209360,-174.8,0.0,0.3,-1.0
209370,-174.8,0.0,0.2,-1.0
209380,-174.8,0.0,0.2,-1.0
209390,-174.8,0.0,0.1,-1.0
209400,-174.8,0.0,0.1,-1.0
209410,-174.8,0.0,0.1,-1.0
209420,-174.8,0.0,0.0,-1.0
209430,-174.8,0.0,0.0,-1.0
209440,-174.8,0.0,0.0,-1.0
209450,-174.8,0.0,-0.1,-1.0
209460,-174.7,0.0,0.0,-1.0
209470,-174.7,0.0,0.0,-1.0
209480,-174.8,0.0,-0.2,-1.0
209490,-174.8,0.0,-0.2,-1.0
209500,-174.8,0.0,-0.2,-1.0
209510,-174.8,0.0,-0.2,-1.0
209520,-174.8,0.0,-0.2,-1.0
209530,-174.8,0.0,-0.2,-1.0
209540,-174.8,0.0,-0.2,-1.0
209550,-174.8,0.0,-0.2,-1.0
209560,-174.8,0.0,-0.2,-1.0
209570,-174.8,0.0,-0.2,-1.0
209580,-174.8,0.0,-0.2,-1.0
209590,-174.8,0.0,-0.2,-1.0
209600,-174.8,0.0,-0.2,-1.0
