tick,pos_deg,vel_degs,acc_degs2,pwm
266000,51.5,-5.5,-5.2,-33.0
266010,48.4,-5.5,-4.9,-31.0
266020,45.4,-5.5,-4.5,-31.0
266030,42.4,-5.5,-4.0,-32.0
266040,39.4,-5.5,-3.5,-32.0
266050,36.4,-5.5,-2.9,-32.0
266060,33.5,-5.4,-2.3,-32.0
266070,30.6,-5.4,-1.7,-32.0
266080,27.7,-5.3,-1.2,-32.0
266090,24.8,-5.3,-0.7,-32.0
266100,22.0,-5.2,-0.2,-33.0
266110,19.1,-5.2,0.3,-33.0
266120,16.2,-5.2,0.6,-33.0
266130,13.3,-5.1,0.9,-33.0
266140,10.4,-5.1,1.1,-33.0
266150,7.5,-5.1,1.2,-33.0
266160,4.5,-5.1,1.3,-33.0
266170,1.6,-5.1,1.4,-33.0
266180,-1.3,-5.1,1.5,-33.0
266190,-4.2,-5.1,1.6,-36.0
266200,-7.1,-5.0,1.7,-36.0
266210,-10.1,-5.1,1.7,-37.0
266220,-13.1,-5.1,1.7,-37.0
266230,-16.1,-5.1,1.5,-37.0
266240,-19.1,-5.1,1.3,-37.0
266250,-22.2,-5.1,1.0,-37.0
266260,-25.3,-5.2,0.8,-37.0
266270,-28.3,-5.2,0.6,-37.0
266280,-31.5,-5.3,0.2,-37.0
266290,-34.7,-5.3,0.0,-37.0
266300,-38.0,-5.4,-0.5,-37.0
266310,-41.2,-5.4,-0.8,-36.0
266320,-44.4,-5.5,-1.0,-36.0
266330,-47.7,-5.5,-1.3,-35.0
266340,-50.9,-5.6,-1.4,-34.0
266350,-54.1,-5.6,-1.4,-33.0
266360,-57.3,-5.6,-1.3,-33.0
266370,-60.4,-5.6,-1.0,-32.0
266380,-63.6,-5.6,-0.9,-31.0
266390,-66.6,-5.5,-0.5,-30.0
266400,-69.7,-5.5,-0.2,-30.0
266410,-72.7,-5.4,0.3,-29.0
266420,-75.6,-5.4,0.9,-29.0
266430,-78.5,-5.3,1.4,-28.0
266440,-81.3,-5.2,2.0,-27.0
266450,-84.2,-5.2,2.4,-27.0
266460,-86.9,-5.1,3.0,-26.0
266470,-89.6,-5.0,3.5,-26.0
266480,-92.2,-4.9,4.2,-25.0
266490,-94.8,-4.8,4.7,-25.0
266500,-97.3,-4.7,5.4,-24.0
266510,-99.8,-4.5,6.0,-24.0
266520,-102.3,-4.4,6.5,-23.0
266530,-104.6,-4.3,7.2,-23.0
266540,-106.9,-4.2,7.5,-23.0
266550,-109.2,-4.1,8.0,-22.0
266560,-111.3,-3.9,8.6,-22.0
266570,-113.4,-3.8,9.2,-22.0
266580,-115.4,-3.7,9.6,-21.0
266590,-117.5,-3.6,9.9,-21.0
266600,-119.6,-3.5,10.0,-21.0
266610,-121.6,-3.4,10.1,-20.0
266620,-123.5,-3.3,10.3,-20.0
266630,-125.3,-3.2,10.6,-20.0
266640,-127.2,-3.1,10.7,-19.0
266650,-129.0,-3.0,10.7,-19.0
266660,-130.8,-2.9,10.7,-19.0
266670,-132.6,-2.9,10.5,-18.0
266680,-134.3,-2.8,10.6,-18.0
266690,-136.0,-2.7,10.4,-18.0
266700,-137.5,-2.6,10.5,-17.0
266710,-139.2,-2.6,10.3,-17.0
266720,-140.8,-2.5,10.2,-17.0
