tick,pos_deg,vel_degs,acc_degs2,pwm
418000,125.3,2.0,-8.4,14.0
418010,126.5,2.0,-8.6,14.0
418020,127.6,1.9,-8.6,14.0
418030,128.8,1.8,-8.5,14.0
418040,129.9,1.8,-8.4,14.0
418050,130.9,1.7,-8.3,14.0
418060,132.0,1.7,-8.3,14.0
418070,133.0,1.6,-8.1,14.0
418080,134.0,1.6,-7.9,13.0
418090,135.0,1.5,-7.8,13.0
418100,136.0,1.5,-7.5,13.0
418110,137.0,1.5,-7.3,13.0
418120,138.0,1.4,-6.9,13.0
418130,139.0,1.4,-6.6,12.0
418140,139.9,1.4,-6.3,12.0
418150,140.8,1.4,-6.0,12.0
418160,141.8,1.4,-5.7,12.0
418170,142.6,1.4,-5.5,12.0
418180,143.6,1.4,-5.2,12.0
418190,144.4,1.3,-4.9,11.0
418200,145.3,1.3,-4.6,11.0
418210,146.2,1.3,-4.4,11.0
418220,147.0,1.3,-4.3,11.0
418230,147.8,1.3,-4.0,11.0
418240,148.6,1.3,-3.9,11.0
418250,149.4,1.2,-3.7,11.0
418260,150.2,1.2,-3.5,10.0
418270,150.9,1.2,-3.5,10.0
418280,151.6,1.2,-3.3,10.0
418290,152.4,1.2,-3.2,10.0
418300,153.1,1.2,-3.0,10.0
418310,153.8,1.1,-2.9,10.0
418320,154.4,1.1,-2.9,10.0
418330,155.1,1.1,-2.8,9.0
418340,155.8,1.1,-2.6,9.0
418350,156.4,1.1,-2.5,9.0
418360,157.0,1.0,-2.5,9.0
418370,157.6,1.0,-2.5,9.0
418380,158.2,1.0,-2.5,9.0
418390,158.7,1.0,-2.5,9.0
418400,159.3,1.0,-2.4,9.0
418410,159.8,0.9,-2.5,9.0
418420,160.3,0.9,-2.4,9.0
418430,160.8,0.9,-2.4,9.0
418440,161.4,0.9,-2.3,8.0
418450,161.9,0.8,-2.2,8.0
418460,162.3,0.8,-2.2,8.0
418470,162.8,0.8,-2.2,8.0
418480,163.2,0.8,-2.2,8.0
418490,163.6,0.7,-2.1,8.0
418500,164.0,0.7,-2.3,8.0
418510,164.4,0.7,-2.1,8.0
418520,164.9,0.7,-2.0,8.0
418530,165.3,0.7,-2.0,8.0
418540,165.7,0.7,-1.8,8.0
418550,166.1,0.7,-1.7,8.0
418560,166.5,0.7,-1.6,8.0
418570,166.9,0.6,-1.5,8.0
418580,167.3,0.6,-1.4,8.0
418590,167.7,0.6,-1.3,7.0
418600,168.1,0.6,-1.2,7.0
418610,168.4,0.6,-1.2,7.0
418620,168.8,0.6,-1.1,7.0
418630,169.1,0.6,-1.1,7.0
418640,169.5,0.6,-1.0,7.0
418650,169.8,0.6,-1.0,7.0
418660,170.1,0.6,-1.0,7.0
418670,170.4,0.5,-1.0,7.0
418680,170.7,0.5,-1.0,7.0
418690,171.0,0.5,-0.9,7.0
418700,171.4,0.5,-0.8,7.0
418710,171.7,0.5,-0.7,7.0
418720,172.0,0.5,-0.7,7.0
418730,172.4,0.5,-0.5,7.0
418740,172.7,0.5,-0.4,6.0
418750,173.0,0.5,-0.3,6.0
418760,173.3,0.5,-0.2,6.0
418770,173.6,0.5,-0.2,6.0
418780,173.9,0.5,-0.1,6.0
418790,174.2,0.5,-0.1,6.0
418800,174.5,0.5,-0.1,6.0
418810,174.8,0.5,-0.2,6.0
418820,175.1,0.5,-0.1,6.0
418830,175.3,0.5,-0.1,6.0
418840,175.6,0.5,-0.1,6.0
418850,175.9,0.5,-0.2,6.0
418860,176.2,0.5,-0.1,6.0
418870,176.4,0.5,-0.2,6.0
418880,176.7,0.5,-0.1,6.0
418890,176.9,0.5,-0.1,6.0
418900,177.2,0.5,-0.1,6.0
418910,177.5,0.5,0.0,6.0
418920,177.7,0.5,0.0,5.0
418930,178.0,0.5,0.0,5.0
418940,178.2,0.5,0.1,5.0
418950,178.5,0.5,0.1,5.0
418960,178.7,0.4,-0.1,5.0
418970,178.9,0.4,0.0,5.0
418980,179.1,0.4,-0.2,5.0
418990,179.3,0.4,-0.2,5.0
419000,179.6,0.4,-0.2,5.0
419010,179.8,0.4,-0.2,5.0
419020,180.0,0.4,-0.2,5.0
419030,180.2,0.4,-0.2,5.0
419040,180.4,0.4,-0.2,5.0
419050,180.6,0.4,-0.3,5.0
419060,180.8,0.3,-0.3,5.0
419070,180.9,0.3,-0.4,5.0
419080,181.1,0.3,-0.4,5.0
419090,181.3,0.3,-0.4,5.0
419100,181.5,0.3,-0.4,5.0
419110,181.6,0.3,-0.4,5.0
419120,181.8,0.3,-0.3,5.0
419130,182.0,0.3,-0.3,5.0
419140,182.2,0.3,-0.2,5.0
419150,182.4,0.3,-0.2,5.0
419160,182.6,0.3,-0.1,5.0
419170,182.7,0.3,-0.2,5.0
419180,182.9,0.3,-0.2,5.0
419190,183.1,0.3,-0.2,4.0
419200,183.3,0.3,0.0,4.0
419210,183.4,0.3,-0.1,4.0
419220,183.6,0.3,-0.2,4.0
419230,183.7,0.3,-0.2,4.0
419240,183.8,0.3,-0.3,0.0
419250,183.9,0.2,-0.4,0.0
419260,184.0,0.2,-0.4,0.0
419270,184.1,0.2,-0.6,0.0
419280,184.1,0.2,-0.9,0.0
419290,184.1,0.1,-1.1,0.0
419300,184.1,0.1,-1.3,0.0
419310,184.1,0.1,-1.4,0.0
419320,184.1,0.0,-1.5,1.0
419330,184.1,0.0,-1.5,1.0
419340,184.1,0.0,-1.5,1.0
419350,184.1,0.0,-1.5,1.0
419360,184.1,0.0,-1.5,1.0
419370,184.1,0.0,-1.5,1.0
419380,184.1,0.0,-1.4,1.0
419390,184.1,0.0,-1.4,1.0
419400,184.1,-0.1,-1.3,1.0
419410,184.1,-0.1,-1.2,1.0
419420,184.1,-0.1,-1.1,1.0
419430,184.1,-0.1,-1.1,1.0
419440,184.1,-0.1,-1.0,1.0
419450,184.1,-0.1,-0.9,1.0
419460,184.1,-0.1,-0.8,1.0
419470,184.1,0.0,-0.7,1.0
419480,184.1,0.0,-0.7,1.0
419490,184.1,0.0,-0.6,1.0
419500,184.1,0.0,-0.5,1.0
419510,184.1,0.0,-0.4,1.0
419520,184.1,0.0,-0.4,1.0
419530,184.1,0.0,-0.3,1.0
419540,184.1,0.0,-0.3,1.0
419550,184.1,0.0,-0.2,1.0
419560,184.1,0.0,-0.1,1.0
419570,184.1,0.0,-0.1,1.0
419580,184.1,0.0,-0.1,1.0
419590,184.1,0.0,0.0,1.0
419600,184.1,0.0,0.0,1.0
419610,184.1,0.0,0.1,1.0
419620,184.1,0.0,0.1,1.0
419630,184.1,0.0,0.1,1.0
419640,184.1,0.0,0.1,1.0
419650,184.1,0.0,0.2,1.0
419660,184.1,0.0,0.2,1.0
419670,184.1,0.0,0.2,1.0
419680,184.1,0.0,0.2,1.0
419690,184.1,0.0,0.2,1.0
419700,184.1,0.0,0.2,1.0
419710,184.1,0.0,0.2,1.0
419720,184.1,0.0,0.3,1.0
419730,184.1,0.0,0.3,1.0
419740,184.1,0.0,0.3,1.0
419750,184.1,0.0,0.3,1.0
419760,184.1,0.0,0.3,1.0
419770,184.1,0.0,0.3,1.0
419780,184.1,0.0,0.3,1.0
419790,184.1,0.0,0.3,1.0
419800,184.1,0.0,0.3,1.0
419810,184.1,0.0,0.3,1.0
419820,184.1,0.0,0.3,1.0
419830,184.1,0.0,0.3,1.0
419840,184.1,0.0,0.2,1.0
419850,184.1,0.0,0.2,1.0
419860,184.1,0.0,0.2,1.0
419870,184.1,0.0,0.2,1.0
419880,184.1,0.0,0.2,1.0
419890,184.1,0.0,0.2,1.0
419900,184.1,0.0,0.2,1.0
419910,184.1,0.0,0.2,1.0
419920,184.1,0.0,0.2,1.0
419930,184.1,0.0,0.2,1.0
419940,184.1,0.0,0.2,1.0
419950,184.1,0.0,0.2,1.0
419960,184.1,0.0,0.2,1.0
419970,184.1,0.0,0.2,1.0
419980,184.1,0.0,0.2,1.0
419990,184.1,0.0,0.2,1.0
