tick,pos_deg,vel_degs,acc_degs2,pwm
46000,25.3,-1.3,5.2,-9.0
46010,24.6,-1.3,5.2,-9.0
46020,23.7,-1.2,5.0,-9.0
46030,23.0,-1.2,4.9,-9.0
46040,22.2,-1.2,4.8,-9.0
46050,21.5,-1.2,4.7,-8.0
46060,20.7,-1.1,4.5,-8.0
46070,20.0,-1.1,4.4,-8.0
46080,19.4,-1.1,4.4,-8.0
46090,18.7,-1.1,4.3,-8.0
46100,18.1,-1.0,4.2,-8.0
46110,17.4,-1.0,4.2,-8.0
46120,16.8,-1.0,4.0,-8.0
46130,16.2,-1.0,4.0,-7.0
46140,15.6,-0.9,3.8,-7.0
46160,14.4,-0.9,3.6,-7.0
46170,13.8,-0.9,3.5,-7.0
46180,13.3,-0.9,3.3,-7.0
46190,12.7,-0.9,3.2,-7.0
46200,12.2,-0.9,3.1,-7.0
46210,11.7,-0.8,3.0,-6.0
46220,11.1,-0.8,2.9,-6.0
46230,10.6,-0.8,2.8,-6.0
46240,10.2,-0.8,2.8,-6.0
46250,9.7,-0.8,2.7,-6.0
46260,9.2,-0.8,2.6,-6.0
46270,8.8,-0.7,2.6,-6.0
46280,8.3,-0.7,2.5,-6.0
46290,7.9,-0.7,2.5,-6.0
46300,7.4,-0.7,2.3,-6.0
46310,7.0,-0.7,2.2,-6.0
46320,6.6,-0.7,2.1,-5.0
46330,6.2,-0.7,2.0,-5.0
46340,5.8,-0.6,2.0,-5.0
46350,5.4,-0.6,2.0,-5.0
46360,5.1,-0.6,1.9,-5.0
46370,4.7,-0.6,2.0,-5.0
46380,4.4,-0.6,1.9,-5.0
46390,4.0,-0.6,1.8,-5.0
46400,3.7,-0.5,1.8,-5.0
46410,3.4,-0.5,1.8,-5.0
46420,3.1,-0.5,1.7,-5.0
46430,2.8,-0.5,1.7,-5.0
46440,2.5,-0.5,1.6,-5.0
46450,2.2,-0.5,1.5,-5.0
46460,1.9,-0.5,1.5,-5.0
46470,1.6,-0.5,1.4,-4.0
46480,1.3,-0.5,1.4,-4.0
46490,1.1,-0.4,1.4,-4.0
46500,0.8,-0.4,1.3,-4.0
46510,0.6,-0.4,1.4,0.0
46520,0.4,-0.4,1.4,0.0
46530,0.2,-0.4,1.5,0.0
46540,0.0,-0.3,1.6,0.0
46550,0.0,-0.3,1.8,0.0
46560,0.0,-0.2,2.2,0.0
46570,0.0,-0.2,2.5,0.0
46580,0.0,-0.1,2.7,0.0
46590,0.0,-0.1,2.8,-1.0
46600,0.0,0.0,2.9,-1.0
46610,0.0,0.0,2.9,-1.0
46620,0.0,0.0,2.9,-1.0
46630,0.0,0.1,2.8,-1.0
46640,0.0,0.1,2.8,-1.0
46650,0.0,0.1,2.7,-1.0
