tick,pos_deg,vel_degs,acc_degs2,pwm
202000,129.9,-4.0,-10.2,-31.0
202010,127.7,-4.1,-10.1,-30.0
202020,125.5,-4.1,-10.0,-30.0
202030,123.1,-4.2,-10.0,-32.0
202040,120.8,-4.3,-9.8,-31.0
202050,118.4,-4.3,-9.7,-32.0
202060,116.1,-4.4,-9.5,-33.0
202070,113.6,-4.4,-9.3,-32.0
202080,111.2,-4.5,-9.0,-32.0
202090,108.8,-4.5,-8.7,-34.0
202100,106.2,-4.6,-8.6,-32.0
202110,103.7,-4.6,-8.4,-32.0
202120,101.0,-4.7,-8.4,-34.0
202130,98.4,-4.8,-8.1,-32.0
202140,95.7,-4.8,-8.1,-32.0
202150,93.0,-4.9,-7.9,-34.0
202160,90.3,-4.9,-7.8,-32.0
202170,87.5,-5.0,-7.6,-32.0
202180,84.8,-5.0,-7.4,-33.0
202190,82.0,-5.1,-7.2,-32.0
202200,79.2,-5.1,-6.8,-32.0
202210,76.4,-5.1,-6.5,-33.0
202220,73.6,-5.1,-6.2,-32.0
202230,70.8,-5.1,-5.9,-32.0
202240,68.0,-5.1,-5.5,-34.0
202250,65.2,-5.2,-5.1,-32.0
202260,62.3,-5.2,-4.8,-32.0
202270,59.5,-5.2,-4.5,-34.0
202280,56.6,-5.2,-4.2,-32.0
202290,53.7,-5.2,-3.9,-32.0
202300,50.8,-5.2,-3.7,-34.0
202310,47.9,-5.2,-3.5,-32.0
202320,45.0,-5.2,-3.3,-31.0
202330,42.1,-5.2,-3.0,-30.0
202340,39.2,-5.2,-2.6,-30.0
202350,36.3,-5.2,-2.2,-30.0
202360,33.5,-5.2,-1.8,-30.0
202370,30.7,-5.1,-1.3,-30.0
202380,28.0,-5.1,-0.6,-30.0
202390,25.2,-5.0,-0.3,-30.0
202400,22.5,-5.0,0.2,-30.0
202410,19.8,-4.9,0.8,-31.0
202420,17.0,-4.9,1.0,-31.0
202430,14.3,-4.9,1.3,-31.0
202440,11.6,-4.8,1.5,-31.0
202450,8.8,-4.8,1.8,-31.0
202460,6.0,-4.8,1.7,-31.0
202470,3.3,-4.8,1.8,-31.0
202480,0.5,-4.8,2.0,-31.0
202490,-2.2,-4.8,2.1,-31.0
202500,-4.9,-4.7,2.2,-31.0
202510,-7.7,-4.7,2.2,-34.0
202520,-10.5,-4.7,2.2,-34.0
202530,-13.2,-4.7,2.2,-34.0
202540,-16.0,-4.7,2.1,-34.0
202550,-18.8,-4.7,1.9,-34.0
202560,-21.7,-4.8,1.7,-34.0
202570,-24.5,-4.8,1.6,-34.0
202580,-27.4,-4.8,1.3,-34.0
202590,-30.3,-4.9,0.9,-34.0
202600,-33.2,-4.9,0.8,-34.0
202610,-36.2,-4.9,0.5,-34.0
202620,-39.2,-5.0,0.1,-34.0
202630,-42.1,-5.0,-0.1,-34.0
202640,-45.2,-5.1,-0.4,-33.0
202650,-48.2,-5.1,-0.7,-32.0
202660,-51.2,-5.1,-0.7,-31.0
202670,-54.1,-5.2,-0.8,-31.0
202680,-57.0,-5.1,-0.6,-30.0
202690,-59.9,-5.1,-0.5,-29.0
202700,-62.8,-5.1,-0.3,-29.0
202710,-65.7,-5.1,-0.1,-28.0
202720,-68.5,-5.0,0.4,-27.0
202730,-71.2,-5.0,0.9,-27.0
202740,-73.9,-4.9,1.3,-26.0
202750,-76.5,-4.9,1.8,-26.0
202760,-79.1,-4.8,2.3,-25.0
202770,-81.7,-4.7,2.7,-25.0
202780,-84.3,-4.6,3.1,-24.0
202790,-86.7,-4.6,3.6,-24.0
202800,-89.2,-4.5,4.2,-23.0
202810,-91.5,-4.4,4.7,-23.0
202820,-93.9,-4.3,5.2,-23.0
202830,-96.1,-4.2,5.7,-22.0
202840,-98.4,-4.1,6.1,-22.0
202850,-100.5,-4.0,6.6,-21.0
202860,-102.7,-3.9,7.0,-21.0
202870,-104.8,-3.7,7.4,-21.0
202880,-106.8,-3.7,7.7,-20.0
202890,-108.8,-3.5,8.1,-20.0
202900,-110.7,-3.4,8.6,-20.0
202910,-112.5,-3.3,9.0,-20.0
202920,-114.3,-3.2,9.3,-19.0
202930,-116.1,-3.1,9.5,-19.0
202940,-117.9,-3.0,9.6,-19.0
202950,-119.7,-2.9,9.6,-18.0
202960,-121.4,-2.9,9.8,-18.0
202970,-123.0,-2.8,9.9,-18.0
202980,-124.6,-2.7,9.9,-18.0
202990,-126.2,-2.6,9.9,-17.0
203000,-127.7,-2.5,9.9,-17.0
203010,-129.3,-2.5,9.8,-17.0
203020,-130.8,-2.4,9.6,-17.0
203030,-132.3,-2.4,9.5,-16.0
203040,-133.7,-2.3,9.4,-16.0
203050,-135.1,-2.2,9.2,-16.0
203060,-136.5,-2.2,9.1,-15.0
203070,-137.9,-2.1,8.8,-15.0
203080,-139.2,-2.1,8.7,-15.0
203090,-140.5,-2.1,8.5,-15.0
203100,-141.9,-2.0,8.2,-14.0
203110,-143.1,-2.0,8.0,-14.0
203120,-144.4,-1.9,7.8,-14.0
203130,-145.5,-1.9,7.7,-14.0
203140,-146.7,-1.8,7.5,-14.0
203150,-147.9,-1.8,7.3,-13.0
203160,-149.0,-1.8,7.0,-13.0
203170,-150.2,-1.8,6.8,-13.0
203180,-151.3,-1.7,6.6,-13.0
203190,-152.4,-1.7,6.3,-12.0
203200,-153.4,-1.7,6.1,-12.0
203210,-154.4,-1.6,6.0,-12.0
203220,-155.4,-1.6,5.9,-12.0
203230,-156.4,-1.6,5.6,-12.0
203240,-157.4,-1.6,5.4,-11.0
203250,-158.4,-1.5,5.3,-11.0
203260,-159.3,-1.5,5.1,-11.0
203270,-160.3,-1.5,4.9,-11.0
203280,-161.2,-1.4,4.8,-11.0
203290,-162.0,-1.4,4.7,-10.0
203300,-162.9,-1.4,4.5,-10.0
203310,-163.7,-1.4,4.5,-10.0
203320,-164.5,-1.3,4.3,-10.0
203330,-165.3,-1.3,4.3,-10.0
203340,-166.1,-1.3,4.1,-9.0
203350,-166.9,-1.2,4.0,-9.0
203360,-167.6,-1.2,3.9,-9.0
203370,-168.3,-1.2,3.9,-9.0
203380,-169.0,-1.1,3.9,-9.0
203390,-169.7,-1.1,3.8,-9.0
203400,-170.3,-1.1,3.7,-9.0
203410,-171.0,-1.1,3.6,-9.0
203420,-171.7,-1.1,3.4,-8.0
203430,-172.3,-1.0,3.4,-8.0
203440,-172.9,-1.0,3.2,-8.0
203450,-173.5,-1.0,3.2,-8.0
203460,-174.1,-1.0,3.1,-8.0
203470,-174.7,-1.0,2.9,-8.0
203480,-175.2,-0.9,2.9,-3.0
203490,-175.7,-0.9,2.9,-3.0
203500,-176.2,-0.9,2.9,-3.0
