tick,pos_deg,vel_degs,acc_degs2,pwm
376000,270.2,-3.3,-1.0,-21.0
376010,268.3,-3.3,-1.0,-20.0
376040,262.8,-3.2,-1.1,-19.0
376060,259.3,-3.1,-1.2,-18.0
376070,257.5,-3.1,-1.2,-18.0
376080,255.8,-3.0,-1.3,-17.0
376090,254.1,-3.0,-1.4,-17.0
376100,252.5,-2.9,-1.5,-17.0
376110,250.9,-2.9,-1.7,-17.0
376140,246.3,-2.7,-2.0,-16.0
376150,244.9,-2.6,-2.1,-15.0
376170,242.0,-2.5,-2.3,-15.0
376180,240.7,-2.5,-2.4,-15.0
376190,239.3,-2.4,-2.5,-14.0
376200,238.0,-2.3,-2.7,-14.0
376210,236.8,-2.3,-2.8,-14.0
376230,234.3,-2.2,-3.0,-14.0
376240,233.2,-2.1,-3.1,-13.0
376260,230.8,-2.0,-3.1,-13.0
376270,229.7,-2.0,-3.1,-13.0
376280,228.5,-1.9,-3.0,-12.0
376290,227.4,-1.9,-2.9,-12.0
376300,226.3,-1.9,-2.9,-12.0
376320,224.1,-1.8,-2.7,-12.0
376360,219.9,-1.7,-2.5,-11.0
376370,218.9,-1.7,-2.5,-11.0
376380,218.0,-1.6,-2.5,-10.0
376390,217.0,-1.6,-2.4,-10.0
376410,215.2,-1.5,-2.4,-10.0
376420,214.3,-1.5,-2.4,-10.0
376430,213.5,-1.5,-2.4,-10.0
376460,211.0,-1.4,-2.5,-9.0
376470,210.3,-1.3,-2.5,-9.0
376480,209.5,-1.3,-2.5,-9.0
376490,208.8,-1.3,-2.6,-9.0
376500,208.1,-1.3,-2.6,-9.0
376520,206.7,-1.2,-2.7,-8.0
376560,204.2,-1.1,-2.7,-8.0
376570,203.6,-1.0,-2.7,-8.0
376580,203.0,-1.0,-2.7,-8.0
376590,202.4,-1.0,-2.7,-8.0
376600,201.8,-1.0,-2.7,-7.0
376630,200.2,-0.9,-2.7,-7.0
376640,199.7,-0.9,-2.8,-7.0
376660,198.8,-0.8,-2.8,-7.0
376670,198.3,-0.8,-2.8,-7.0
376680,197.9,-0.8,-2.8,-7.0
376690,197.4,-0.8,-2.8,-7.0
376700,197.0,-0.8,-2.8,-7.0
376720,196.1,-0.7,-2.7,-6.0
376730,195.7,-0.7,-2.7,-6.0
376740,195.3,-0.7,-2.7,-6.0
376750,194.9,-0.7,-2.7,-6.0
376770,194.1,-0.6,-2.6,-6.0
376780,193.7,-0.6,-2.6,-6.0
376810,192.7,-0.6,-2.6,-6.0
376820,192.3,-0.6,-2.6,-6.0
376830,192.0,-0.6,-2.6,-6.0
376840,191.6,-0.6,-2.6,-6.0
376850,191.3,-0.6,-2.6,-6.0
376860,191.0,-0.5,-2.6,-5.0
376880,190.4,-0.5,-2.6,-5.0
376890,190.1,-0.5,-2.6,-5.0
376910,189.6,-0.5,-2.6,-5.0
376920,189.3,-0.4,-2.6,-5.0
376930,189.1,-0.4,-2.6,-5.0
376960,188.4,-0.4,-2.6,-5.0
376970,188.1,-0.4,-2.6,-5.0
376980,187.9,-0.4,-2.6,-5.0
376990,187.7,-0.4,-2.6,-5.0
377010,187.2,-0.4,-2.6,-5.0
377020,187.0,-0.4,-2.6,-5.0
377030,186.8,-0.4,-2.6,-5.0
377040,186.6,-0.4,-2.5,-5.0
377060,186.2,-0.3,-2.5,-5.0
377070,186.0,-0.3,-2.5,-5.0
377080,185.8,-0.3,-2.5,-5.0
377110,185.3,-0.3,-2.5,-4.0
377120,185.1,-0.3,-2.5,-4.0
377130,184.9,-0.3,-2.5,-4.0
377140,184.8,-0.3,-2.5,-4.0
377150,184.6,-0.3,-2.5,-4.0
377180,184.2,-0.2,-2.5,-4.0
377190,184.0,-0.2,-2.5,-4.0
377200,183.9,-0.2,-2.5,-4.0
377210,183.7,-0.2,-2.4,-4.0
377220,183.6,-0.2,-2.4,-4.0
377250,183.2,-0.2,-2.4,-4.0
377260,183.1,-0.2,-2.4,-4.0
377270,183.0,-0.2,-2.4,-4.0
377290,182.7,-0.2,-2.4,-4.0
377310,182.5,-0.2,-2.4,-4.0
377330,182.3,-0.2,-2.3,-4.0
377340,182.1,-0.2,-2.3,-4.0
377350,182.0,-0.2,-2.3,-4.0
