tick,pos_deg,vel_degs,acc_degs2,pwm
40000,47.1,3.4,8.5,24.0
40010,49.0,3.5,8.4,25.0
40020,50.9,3.5,8.3,25.0
40030,52.8,3.6,8.1,25.0
40040,54.8,3.6,7.9,25.0
40050,56.7,3.6,7.7,25.0
40060,58.7,3.7,7.5,25.0
40070,60.7,3.7,7.3,24.0
40080,62.7,3.7,6.9,24.0
40090,64.7,3.7,6.5,24.0
40100,66.6,3.7,6.0,24.0
40110,68.6,3.8,5.7,24.0
40120,70.6,3.7,5.3,23.0
40130,72.6,3.7,4.7,26.0
40140,74.6,3.7,4.5,26.0
40150,76.6,3.7,4.1,25.0
40160,78.7,3.7,3.9,25.0
40170,80.7,3.8,3.6,24.0
40180,82.8,3.8,3.4,24.0
40190,84.9,3.8,3.1,24.0
40200,86.9,3.8,2.9,23.0
40210,89.0,3.7,2.5,23.0
40220,91.1,3.8,2.4,22.0
40230,93.2,3.8,2.2,22.0
40240,95.2,3.8,1.9,21.0
40250,97.2,3.7,1.4,21.0
40260,99.2,3.7,1.0,20.0
40270,101.1,3.6,0.5,20.0
40280,103.1,3.6,0.1,20.0
40290,104.9,3.5,-0.4,19.0
40300,106.8,3.5,-0.9,19.0
40310,108.6,3.4,-1.5,19.0
40320,110.4,3.3,-1.9,18.0
40330,112.2,3.3,-2.4,18.0
40340,113.9,3.2,-2.9,18.0
40350,115.6,3.1,-3.3,17.0
40360,117.3,3.1,-3.6,17.0
40370,118.9,3.0,-4.0,17.0
40380,120.5,2.9,-4.4,16.0
40390,122.2,2.9,-4.7,16.0
40400,123.7,2.8,-5.0,16.0
40410,125.2,2.7,-5.4,16.0
40420,126.7,2.7,-5.6,15.0
40430,128.3,2.6,-5.7,15.0
40440,129.7,2.5,-6.0,15.0
40450,131.1,2.5,-6.2,15.0
40460,132.5,2.4,-6.3,14.0
40470,133.9,2.4,-6.4,14.0
40480,135.3,2.3,-6.4,14.0
40490,136.6,2.3,-6.5,14.0
40500,137.9,2.2,-6.6,13.0
40510,139.2,2.1,-6.7,13.0
40520,140.4,2.1,-6.7,13.0
40530,141.6,2.0,-6.9,13.0
40540,142.8,2.0,-7.0,13.0
40550,143.9,1.9,-7.1,12.0
40560,145.1,1.9,-7.0,12.0
