tick,pos_deg,vel_degs,acc_degs2,pwm
534000,92.4,3.5,1.2,19.0
534010,94.2,3.5,0.6,19.0
534020,96.1,3.4,0.2,19.0
534030,97.9,3.4,-0.1,18.0
534040,99.7,3.3,-0.7,18.0
534050,101.5,3.3,-1.0,18.0
534060,103.2,3.2,-1.4,17.0
534070,104.9,3.2,-1.8,17.0
534080,106.6,3.1,-2.4,17.0
534090,108.2,3.0,-2.8,17.0
534100,109.8,2.9,-3.3,16.0
534110,111.4,2.9,-3.7,16.0
534120,112.9,2.8,-4.1,16.0
534130,114.3,2.7,-4.6,16.0
534140,115.8,2.6,-4.9,16.0
534150,117.3,2.6,-5.1,15.0
534160,118.7,2.5,-5.4,15.0
534170,120.1,2.5,-5.7,15.0
534180,121.4,2.4,-6.1,15.0
534190,122.6,2.3,-6.5,15.0
534200,123.8,2.2,-6.8,15.0
534210,125.0,2.1,-7.1,15.0
534220,126.2,2.0,-7.3,14.0
534230,127.4,2.0,-7.4,14.0
534240,128.4,1.9,-7.6,14.0
534250,129.5,1.8,-7.8,14.0
534260,130.6,1.7,-7.9,14.0
534270,131.6,1.7,-7.9,14.0
534280,132.6,1.6,-7.9,14.0
534290,133.6,1.6,-7.9,14.0
534300,134.6,1.5,-7.8,13.0
534310,135.5,1.5,-7.7,13.0
534320,136.5,1.4,-7.5,13.0
534330,137.5,1.4,-7.3,13.0
534340,138.4,1.4,-7.0,13.0
534350,139.3,1.4,-6.8,13.0
534360,140.3,1.4,-6.6,12.0
534370,141.2,1.3,-6.3,12.0
534380,142.1,1.3,-6.1,12.0
534390,143.0,1.3,-5.9,12.0
534400,143.8,1.3,-5.6,12.0
534410,144.7,1.3,-5.5,12.0
534420,145.5,1.3,-5.1,11.0
534430,146.3,1.3,-5.0,11.0
534440,147.2,1.2,-4.8,11.0
534450,148.0,1.2,-4.6,11.0
534460,148.8,1.2,-4.5,11.0
534470,149.5,1.2,-4.4,11.0
534480,150.3,1.2,-4.1,10.0
534490,151.0,1.2,-4.1,10.0
534500,151.7,1.1,-3.9,10.0
534510,152.4,1.1,-3.8,10.0
534520,153.1,1.1,-3.7,10.0
534530,153.8,1.1,-3.5,10.0
534540,154.5,1.1,-3.5,10.0
534550,155.2,1.1,-3.3,10.0
534560,155.8,1.0,-3.2,9.0
534570,156.4,1.0,-3.2,9.0
534580,157.0,1.0,-3.2,9.0
534590,157.6,1.0,-3.2,9.0
534600,158.2,0.9,-3.1,9.0
534610,158.6,0.9,-3.3,9.0
534620,159.2,0.9,-3.2,9.0
534630,159.7,0.8,-3.3,9.0
534640,160.1,0.8,-3.2,9.0
534650,160.6,0.8,-3.2,9.0
534660,161.1,0.8,-3.1,9.0
534670,161.6,0.8,-3.0,9.0
534680,162.0,0.7,-3.0,9.0
534690,162.5,0.7,-2.9,9.0
534700,162.9,0.7,-2.8,9.0
534710,163.4,0.7,-2.6,8.0
534720,163.8,0.7,-2.6,8.0
534730,164.2,0.7,-2.4,8.0
534740,164.6,0.7,-2.4,8.0
534750,165.1,0.7,-2.2,8.0
534760,165.5,0.6,-2.1,8.0
534770,165.9,0.6,-2.0,8.0
534780,166.3,0.6,-1.8,8.0
534790,166.7,0.6,-1.7,8.0
534800,167.0,0.6,-1.7,8.0
534810,167.4,0.6,-1.6,8.0
534820,167.8,0.6,-1.5,8.0
534830,168.2,0.6,-1.4,8.0
534840,168.5,0.6,-1.4,7.0
534850,168.9,0.6,-1.3,7.0
534860,169.2,0.6,-1.3,7.0
534870,169.5,0.5,-1.3,7.0
534880,169.8,0.5,-1.2,7.0
534890,170.2,0.5,-1.2,7.0
534900,170.4,0.5,-1.3,7.0
534910,170.7,0.5,-1.2,7.0
534920,171.0,0.5,-1.1,7.0
534930,171.3,0.5,-1.1,7.0
534940,171.6,0.5,-1.0,7.0
534950,171.9,0.5,-0.9,7.0
534960,172.2,0.5,-0.8,7.0
534970,172.5,0.5,-0.7,7.0
534980,172.8,0.5,-0.6,7.0
534990,173.1,0.5,-0.5,7.0
535000,173.4,0.5,-0.5,7.0
535010,173.7,0.5,-0.4,6.0
535020,174.0,0.5,-0.3,6.0
535030,174.3,0.5,-0.3,6.0
535040,174.6,0.5,-0.2,6.0
535050,174.8,0.5,-0.3,6.0
535060,175.1,0.5,-0.2,6.0
535070,175.3,0.5,-0.3,6.0
535080,175.6,0.5,-0.3,6.0
535090,175.8,0.4,-0.3,6.0
535100,176.0,0.4,-0.4,6.0
535110,176.3,0.4,-0.3,6.0
535120,176.5,0.4,-0.3,6.0
535130,176.8,0.4,-0.3,6.0
535140,177.0,0.4,-0.3,6.0
535150,177.2,0.4,-0.3,6.0
535160,177.5,0.4,-0.2,6.0
535170,177.7,0.4,-0.2,6.0
535180,177.9,0.4,-0.2,6.0
535190,178.2,0.4,-0.1,6.0
535200,178.4,0.4,-0.2,6.0
535210,178.6,0.4,-0.1,6.0
535220,178.9,0.4,-0.1,5.0
535230,179.1,0.4,-0.1,5.0
535240,179.3,0.4,-0.1,5.0
535250,179.5,0.4,-0.1,5.0
535260,179.7,0.4,-0.2,5.0
535270,179.9,0.4,-0.2,5.0
535280,180.0,0.4,-0.2,5.0
535290,180.3,0.4,-0.2,5.0
535300,180.4,0.3,-0.2,5.0
535310,180.6,0.3,-0.2,5.0
535320,180.8,0.3,-0.2,5.0
535330,181.0,0.3,-0.3,5.0
535340,181.1,0.3,-0.3,5.0
535350,181.3,0.3,-0.3,5.0
535360,181.5,0.3,-0.2,5.0
535370,181.7,0.3,-0.2,5.0
535380,181.8,0.3,-0.2,5.0
535390,182.0,0.3,-0.2,5.0
535400,182.2,0.3,-0.2,5.0
535410,182.3,0.3,-0.2,5.0
535420,182.5,0.3,-0.2,5.0
535430,182.7,0.3,-0.2,5.0
535440,182.9,0.3,-0.1,5.0
535450,183.0,0.3,-0.1,5.0
535460,183.2,0.3,-0.1,5.0
535470,183.3,0.3,-0.1,5.0
535480,183.5,0.3,-0.1,5.0
535490,183.7,0.3,-0.1,4.0
535500,183.8,0.3,-0.1,4.0
535510,184.0,0.3,-0.2,0.0
535520,184.0,0.2,-0.3,0.0
535530,184.1,0.2,-0.4,0.0
535540,184.2,0.2,-0.6,0.0
535550,184.2,0.2,-0.7,0.0
535560,184.2,0.1,-1.0,1.0
535570,184.3,0.1,-1.0,1.0
535580,184.2,0.1,-1.3,1.0
535590,184.2,0.0,-1.4,1.0
535610,184.2,0.0,-1.5,1.0
535620,184.2,0.0,-1.5,1.0
535630,184.2,0.0,-1.5,1.0
535640,184.3,0.0,-1.4,1.0
535650,184.2,0.0,-1.4,1.0
535660,184.2,0.0,-1.4,1.0
535670,184.2,0.0,-1.3,1.0
535680,184.2,-0.1,-1.2,1.0
535690,184.2,-0.1,-1.2,1.0
535700,184.2,-0.1,-1.1,1.0
535710,184.2,-0.1,-1.0,1.0
535720,184.2,-0.1,-0.9,1.0
535730,184.2,-0.1,-0.9,1.0
535740,184.2,0.0,-0.8,1.0
535750,184.2,0.0,-0.7,1.0
535760,184.2,0.0,-0.6,1.0
535770,184.2,0.0,-0.6,1.0
535780,184.2,0.0,-0.5,1.0
535790,184.2,0.0,-0.4,1.0
535800,184.2,0.0,-0.4,1.0
535810,184.2,0.0,-0.3,1.0
535820,184.2,0.0,-0.2,1.0
535830,184.2,0.0,-0.2,1.0
535840,184.2,0.0,-0.1,1.0
535850,184.2,0.0,-0.1,1.0
535860,184.2,0.0,-0.1,1.0
535870,184.2,0.0,0.0,1.0
535880,184.2,0.0,0.0,1.0
535890,184.2,0.0,0.0,1.0
535900,184.2,0.0,0.1,1.0
535910,184.2,0.0,0.1,1.0
535920,184.2,0.0,0.1,1.0
535930,184.2,0.0,0.1,1.0
535940,184.2,0.0,0.2,1.0
535950,184.2,0.0,0.2,1.0
535960,184.2,0.0,0.2,1.0
535970,184.2,0.0,0.2,1.0
535980,184.2,0.0,0.2,1.0
535990,184.2,0.0,0.2,1.0
